,title,genres,genres_list,release_date,budget,revenue,tmdbid,imdbid,runtime,vote_average,vote_count,keywords,keywords_list
2353,The Texas Chainsaw Massacre 2 ( 1986 ),Horror,['Horror'],1986-08-22,4700000,8025872,16337,16337,101.0,5.8,142,hammer|gore|slasher|chainsaw|b horror,"['hammer', 'gore', 'slasher', 'chainsaw', 'b horror']"
2355,Texas Chainsaw Massacre: The Next Generation ( 1994 ),Horror|Comedy|Thriller,"['Horror', 'Comedy', 'Thriller']",1994-01-01,600000,185898,16780,16780,95.0,3.9,96,female nudity|texas|sadism|sequel|leatherface|hitchhiker|cross dressing|chainsaw|torture|cannibal|splatter|skin|psychos,"['female nudity', 'texas', 'sadism', 'sequel', 'leatherface', 'hitchhiker', 'cross dressing', 'chainsaw', 'torture', 'cannibal', 'splatter', 'skin', 'psychos']"
2360,The Name of the Rose ( 1986 ),Drama|Thriller|Mystery,"['Drama', 'Thriller', 'Mystery']",1986-09-24,20000000,77200000,192,192,130.0,7.2,739,christianity|library|inquisition|monk|poison|secret passage|labyrinth|rich|middle ages|persecution|medieval|franciscan|burned at the stake|poor|murder mystery|theological debate,"['christianity', 'library', 'inquisition', 'monk', 'poison', 'secret passage', 'labyrinth', 'rich', 'middle ages', 'persecution', 'medieval', 'franciscan', 'burned at the stake', 'poor', 'murder mystery', 'theological debate']"
2362,Peggy Sue Got Married ( 1986 ),Comedy|Drama|Fantasy|Romance,"['Comedy', 'Drama', 'Fantasy', 'Romance']",1986-10-05,18000000,41382841,10013,10013,103.0,5.9,138,time travel|high school reunion,"['time travel', 'high school reunion']"
2363,Crocodile Dundee ( 1986 ),Adventure|Comedy,"['Adventure', 'Comedy']",1986-09-26,5000000,328203506,9671,9671,97.0,6.3,512,new york|prostitute|hotel|journalist|culture clash|subway|crocodile|wilderness|knife|tourist|limousine|poacher|city|australian outback|kangaroo,"['new york', 'prostitute', 'hotel', 'journalist', 'culture clash', 'subway', 'crocodile', 'wilderness', 'knife', 'tourist', 'limousine', 'poacher', 'city', 'australian outback', 'kangaroo']"
2367,The Color of Money ( 1986 ),Drama,['Drama'],1986-10-07,13800000,52293982,11873,11873,119.0,6.7,297,bar|billard|talent|hustler|sport,"['bar', 'billard', 'talent', 'hustler', 'sport']"
2369,Heartbreak Ridge ( 1986 ),Action|Comedy|Drama|War,"['Action', 'Comedy', 'Drama', 'War']",1986-12-15,15000000,42724017,10015,10015,130.0,6.5,270,recruit|officer|battle assignment|marine|platoon|combat,"['recruit', 'officer', 'battle assignment', 'marine', 'platoon', 'combat']"
2378,She's All That ( 1999 ),Comedy|Romance,"['Comedy', 'Romance']",1999-01-29,10000000,103166989,10314,10314,95.0,5.7,425,tv star|jeep|volleyball|misfit|teen angst|house party|teen movie|teenager|avant-garde|popularity|little people|high school student|young love|prom queen|pygmalion|clown makeup|performance art|beatboxing|self expression|tripping|pool cleaner,"['tv star', 'jeep', 'volleyball', 'misfit', 'teen angst', 'house party', 'teen movie', 'teenager', 'avant-garde', 'popularity', 'little people', 'high school student', 'young love', 'prom queen', 'pygmalion', 'clown makeup', 'performance art', 'beatboxing', 'self expression', 'tripping', 'pool cleaner']"
2380,"Blood, Guts, Bullets and Octane ( 1998 )",Action|Comedy|Thriller,"['Action', 'Comedy', 'Thriller']",1998-10-16,7300,13674,47139,47139,87.0,6.0,3,,[]
2381,Peeping Tom ( 1960 ),Horror|Thriller,"['Horror', 'Thriller']",1960-04-06,150000,83957,11167,11167,101.0,7.6,148,cinematographer|photography|illegal prostitution|proto-slasher,"['cinematographer', 'photography', 'illegal prostitution', 'proto-slasher']"
2383,Payback ( 1999 ),Drama|Action|Thriller|Crime,"['Drama', 'Action', 'Thriller', 'Crime']",1999-02-05,90000000,161626121,2112,2112,100.0,6.7,557,new york|heroin|money|criminal,"['new york', 'heroin', 'money', 'criminal']"
2384,Simply Irresistible ( 1999 ),Comedy,['Comedy'],1999-02-05,6000000,4398989,16172,16172,95.0,5.5,52,restaurant|department store|kitchen|love|crab|chef|irresistible,"['restaurant', 'department store', 'kitchen', 'love', 'crab', 'chef', 'irresistible']"
2389,Blast from the Past ( 1999 ),Comedy|Romance,"['Comedy', 'Romance']",1999-02-12,35000000,40263020,11622,11622,112.0,6.3,247,isolation|atomic bomb|bunker|shelter,"['isolation', 'atomic bomb', 'bunker', 'shelter']"
2390,Message in a Bottle ( 1999 ),Romance|Drama,"['Romance', 'Drama']",1999-02-22,80000000,118880016,10207,10207,131.0,5.9,198,sailboat|anonymous letter|sailing|love letter|bottle,"['sailboat', 'anonymous letter', 'sailing', 'love letter', 'bottle']"
2391,My Favorite Martian ( 1999 ),Comedy|Drama|Family|Science Fiction,"['Comedy', 'Drama', 'Family', 'Science Fiction']",1999-02-11,65000000,36850101,9849,9849,94.0,5.1,81,alien|martian|based on tv series|fish out of water,"['alien', 'martian', 'based on tv series', 'fish out of water']"
2393,Jawbreaker ( 1999 ),Comedy,['Comedy'],1999-01-30,3000000,3076820,18892,18892,87.0,5.9,93,confession|jealousy|nightmare|ambition|groupie|high school|cafeteria|revenge|prom|dead body|dating|fashion|rock band|fantasy sequence|slow motion|multiple identities|pop music|makeover|polaroid camera|public humiliation|social outcast|sidekick|prank gone wrong|cliques|social climbing|back stabbing|dead teenager|goth girls,"['confession', 'jealousy', 'nightmare', 'ambition', 'groupie', 'high school', 'cafeteria', 'revenge', 'prom', 'dead body', 'dating', 'fashion', 'rock band', 'fantasy sequence', 'slow motion', 'multiple identities', 'pop music', 'makeover', 'polaroid camera', 'public humiliation', 'social outcast', 'sidekick', 'prank gone wrong', 'cliques', 'social climbing', 'back stabbing', 'dead teenager', 'goth girls']"
2395,Office Space ( 1999 ),Comedy|Crime,"['Comedy', 'Crime']",1999-02-19,10000000,12827813,1542,1542,89.0,7.4,1068,suburbia|downsizing|software engineer|burnout|dallas texas|beach resort|coworker relationship|laziness|duringcreditsstinger|business rivalry,"['suburbia', 'downsizing', 'software engineer', 'burnout', 'dallas texas', 'beach resort', 'coworker relationship', 'laziness', 'duringcreditsstinger', 'business rivalry']"
2397,200 Cigarettes ( 1999 ),Comedy|Drama|Romance,"['Comedy', 'Drama', 'Romance']",1999-02-26,6000000,6852450,15256,15256,101.0,6.1,44,new year's eve|independent film|relationship|woman director|lower east side,"[""new year's eve"", 'independent film', 'relationship', 'woman director', 'lower east side']"
2398,8MM ( 1999 ),Thriller|Crime|Mystery,"['Thriller', 'Crime', 'Mystery']",1999-02-26,40000000,96618699,8224,8224,123.0,6.1,479,pornography|porn actor|loss of daughter|child pornography|private investigator|subculture|private detective,"['pornography', 'porn actor', 'loss of daughter', 'child pornography', 'private investigator', 'subculture', 'private detective']"
2406,Pet Sematary ( 1989 ),Drama|Horror,"['Drama', 'Horror']",1989-04-21,11500000,57469467,8913,8913,103.0,6.4,417,coffin|pet|funeral|head injury|grief|violence|new neighbor|pet cemetery|dead cat|death of patient|loss of pet|dead lover|mother son relationship|ghost|grave robbing|indian burial ground|woman director|flashback|burial ground,"['coffin', 'pet', 'funeral', 'head injury', 'grief', 'violence', 'new neighbor', 'pet cemetery', 'dead cat', 'death of patient', 'loss of pet', 'dead lover', 'mother son relationship', 'ghost', 'grave robbing', 'indian burial ground', 'woman director', 'flashback', 'burial ground']"
2407,Pet Sematary II ( 1992 ),Horror,['Horror'],1992-08-28,8000000,17092453,10906,10906,100.0,5.0,107,underdog|father son relationship|veterinarian|step father|dog|woman director,"['underdog', 'father son relationship', 'veterinarian', 'step father', 'dog', 'woman director']"
2408,Children of the Corn II: The Final Sacrifice ( 1993 ),Horror,['Horror'],1993-01-29,900000,6980986,25748,25748,92.0,4.5,50,sequel|possession|priest|corn|harvest,"['sequel', 'possession', 'priest', 'corn', 'harvest']"
2413,Airport ( 1970 ),Action|Drama|Thriller,"['Action', 'Drama', 'Thriller']",1970-03-05,10000000,100489151,10671,10671,137.0,6.2,89,bomb|based on novel|airport|desperation|snow storm|stowaway|airplane|panic|landing|psychopath|deception|split screen|blizzard|disaster film|suicide bomber|snowplow,"['bomb', 'based on novel', 'airport', 'desperation', 'snow storm', 'stowaway', 'airplane', 'panic', 'landing', 'psychopath', 'deception', 'split screen', 'blizzard', 'disaster film', 'suicide bomber', 'snowplow']"
2414,Airport 1975 ( 1974 ),Action|Adventure|Drama|Thriller,"['Action', 'Adventure', 'Drama', 'Thriller']",1974-10-18,3000000,47000000,27932,27932,107.0,5.5,79,helicopter|based on novel|airport|cataclysm|guitar|wife husband relationship|stewardess|pilot|airplane|music|alcoholism|sequel|number in title|aviation|salt lake city|dulles international airport|teenage girl|singing nun|mid air collision|airplane accident|los angeles|ensemble cast|disaster film,"['helicopter', 'based on novel', 'airport', 'cataclysm', 'guitar', 'wife husband relationship', 'stewardess', 'pilot', 'airplane', 'music', 'alcoholism', 'sequel', 'number in title', 'aviation', 'salt lake city', 'dulles international airport', 'teenage girl', 'singing nun', 'mid air collision', 'airplane accident', 'los angeles', 'ensemble cast', 'disaster film']"
2415,Airport '77 ( 1977 ),Action|Adventure|Drama|Thriller,"['Action', 'Adventure', 'Drama', 'Thriller']",1977-03-11,6000000,30000000,7227,7227,114.0,5.8,69,stewardess|pilot|airplane|hijacking|u.s. navy|painting|bermuda triangle|sequel|rescue|airplane hijacking|disaster|underwater|art thief|millionaire|philanthropist|airliner|playing cards|disaster film|inspired by novel|frogman|scuba diver,"['stewardess', 'pilot', 'airplane', 'hijacking', 'u.s. navy', 'painting', 'bermuda triangle', 'sequel', 'rescue', 'airplane hijacking', 'disaster', 'underwater', 'art thief', 'millionaire', 'philanthropist', 'airliner', 'playing cards', 'disaster film', 'inspired by novel', 'frogman', 'scuba diver']"
2417,The Towering Inferno ( 1974 ),Action|Thriller,"['Action', 'Thriller']",1974-12-14,14000000,116000000,5919,5919,159.0,7.1,230,san francisco|fire|helicopter|skyscraper|firemen|fire engine|rescue|disaster|explosion|trapped|elevator|disaster film|disaster movie|world's tallest building,"['san francisco', 'fire', 'helicopter', 'skyscraper', 'firemen', 'fire engine', 'rescue', 'disaster', 'explosion', 'trapped', 'elevator', 'disaster film', 'disaster movie', ""world's tallest building""]"
2421,Logan's Run ( 1976 ),Adventure|Action|Romance|Science Fiction,"['Adventure', 'Action', 'Romance', 'Science Fiction']",1976-06-23,9000000,25000000,10803,10803,119.0,6.6,272,female nudity|killer robot|nudity|utopia|teleportation|post-apocalyptic|dystopia|plastic surgery|escape|fugitive|robot|domed city|dystopic future|totalitarianism|population control,"['female nudity', 'killer robot', 'nudity', 'utopia', 'teleportation', 'post-apocalyptic', 'dystopia', 'plastic surgery', 'escape', 'fugitive', 'robot', 'domed city', 'dystopic future', 'totalitarianism', 'population control']"
2422,Planet of the Apes ( 1968 ),Science Fiction|Adventure|Drama|Action,"['Science Fiction', 'Adventure', 'Drama', 'Action']",1968-02-07,5800000,33395426,871,871,112.0,7.5,958,human evolution|gorilla|bondage|space marine|chimp|slavery|space travel|time travel|dystopia|apocalypse|astronaut|ape|human subjugation,"['human evolution', 'gorilla', 'bondage', 'space marine', 'chimp', 'slavery', 'space travel', 'time travel', 'dystopia', 'apocalypse', 'astronaut', 'ape', 'human subjugation']"
2423,Beneath the Planet of the Apes ( 1970 ),Adventure|Science Fiction|Mystery,"['Adventure', 'Science Fiction', 'Mystery']",1970-05-01,3000000,18999718,1685,1685,95.0,6.2,370,mutant|dystopia|survivor|astronaut|ape|science|worship,"['mutant', 'dystopia', 'survivor', 'astronaut', 'ape', 'science', 'worship']"
2424,Battle for the Planet of the Apes ( 1973 ),Action|Science Fiction,"['Action', 'Science Fiction']",1973-06-15,1700000,8844595,1705,1705,93.0,5.5,220,post-apocalyptic|dystopia|ape,"['post-apocalyptic', 'dystopia', 'ape']"
2425,Conquest of the Planet of the Apes ( 1972 ),Action|Science Fiction,"['Action', 'Science Fiction']",1972-06-29,1700000,9700000,1688,1688,88.0,6.1,243,circus|pet|human being|dystopia|insurrection|army|ape,"['circus', 'pet', 'human being', 'dystopia', 'insurrection', 'army', 'ape']"
2426,Escape from the Planet of the Apes ( 1971 ),Action|Science Fiction,"['Action', 'Science Fiction']",1971-05-20,2500000,12348905,1687,1687,98.0,6.3,270,spacecraft|pacifism|human being|cage|dystopia|politician|chimpanzee|tease|caving,"['spacecraft', 'pacifism', 'human being', 'cage', 'dystopia', 'politician', 'chimpanzee', 'tease', 'caving']"
2428,Earthquake ( 1974 ),Action|Drama|Thriller,"['Action', 'Drama', 'Thriller']",1974-11-15,7000000,79666653,11123,11123,123.0,5.6,76,fire|supermarket|architect|earthquake|parking garage|natural disaster|national guard|disaster|child in peril|pool hall|los angeles|explosion|motorcycle|alcoholic|policeman|daredevil|movie theater|disaster film|disaster movie|sensurround,"['fire', 'supermarket', 'architect', 'earthquake', 'parking garage', 'natural disaster', 'national guard', 'disaster', 'child in peril', 'pool hall', 'los angeles', 'explosion', 'motorcycle', 'alcoholic', 'policeman', 'daredevil', 'movie theater', 'disaster film', 'disaster movie', 'sensurround']"
2429,The Concorde... Airport '79 ( 1979 ),Action|Drama|Thriller,"['Action', 'Drama', 'Thriller']",1979-08-17,14000000,13015688,29723,29723,123.0,4.7,45,stewardess|missile|pilot|hot air balloon|panic|arms dealer|fighter jet|airplane accident|drone|sabotage|protestor|mountain pass|airliner|smoking pot|playing cards|sign language|disaster film|supersonic jet|inspired by novel|decompression,"['stewardess', 'missile', 'pilot', 'hot air balloon', 'panic', 'arms dealer', 'fighter jet', 'airplane accident', 'drone', 'sabotage', 'protestor', 'mountain pass', 'airliner', 'smoking pot', 'playing cards', 'sign language', 'disaster film', 'supersonic jet', 'inspired by novel', 'decompression']"
2432,Analyze This ( 1999 ),Comedy|Crime,"['Comedy', 'Crime']",1999-03-05,80000000,176885658,9535,9535,103.0,6.4,512,new york|mafia boss|wedding|psychiatrist,"['new york', 'mafia boss', 'wedding', 'psychiatrist']"
2433,The Corruptor ( 1999 ),Action|Crime|Mystery|Thriller,"['Action', 'Crime', 'Mystery', 'Thriller']",1999-03-12,25000000,15156200,9455,9455,110.0,6.1,60,new york|life and death|gang war|police|china town|triad,"['new york', 'life and death', 'gang war', 'police', 'china town', 'triad']"
2434,Cruel Intentions ( 1999 ),Drama|Romance|Thriller,"['Drama', 'Romance', 'Thriller']",1999-03-05,10500000,75902208,796,796,97.0,6.6,848,upper class|sexual obsession|sex|bet|sadistic|drug abuse|brother sister relationship|cynic|cocaine|virgin|manipulation|seduction|love letter|private school|innocence|addiction|love|psychotherapy,"['upper class', 'sexual obsession', 'sex', 'bet', 'sadistic', 'drug abuse', 'brother sister relationship', 'cynic', 'cocaine', 'virgin', 'manipulation', 'seduction', 'love letter', 'private school', 'innocence', 'addiction', 'love', 'psychotherapy']"
2435,"Lock, Stock and Two Smoking Barrels ( 1998 )",Comedy|Crime,"['Comedy', 'Crime']",1998-03-05,1350000,3897569,100,100,105.0,7.5,1671,ambush|alcohol|shotgun|tea|joint|machismo|cocktail|rifle|marijuana|cockney accent|pot smoking|hatchet|antique|cardsharp|anger|carjacking|piano|strip show|high stakes,"['ambush', 'alcohol', 'shotgun', 'tea', 'joint', 'machismo', 'cocktail', 'rifle', 'marijuana', 'cockney accent', 'pot smoking', 'hatchet', 'antique', 'cardsharp', 'anger', 'carjacking', 'piano', 'strip show', 'high stakes']"
2439,The Deep End of the Ocean ( 1999 ),Drama|Mystery,"['Drama', 'Mystery']",1999-03-12,38000000,28121100,30943,30943,106.0,6.0,58,kidnapping|boy|reunion,"['kidnapping', 'boy', 'reunion']"
2441,The Rage: Carrie 2 ( 1999 ),Horror|Thriller|Science Fiction,"['Horror', 'Thriller', 'Science Fiction']",1999-03-11,21000000,17762705,7341,7341,104.0,5.1,79,suicide|male nudity|female nudity|fire|nudity|asylum|telekinesis|high school|swimming pool|party|sequel|murder|prom|teacher|decapitation|blood|splatter|weightlifting|teen suicide|woman director,"['suicide', 'male nudity', 'female nudity', 'fire', 'nudity', 'asylum', 'telekinesis', 'high school', 'swimming pool', 'party', 'sequel', 'murder', 'prom', 'teacher', 'decapitation', 'blood', 'splatter', 'weightlifting', 'teen suicide', 'woman director']"
2444,Dead Ringers ( 1988 ),Drama|Horror|Thriller,"['Drama', 'Horror', 'Thriller']",1988-09-23,13000000,8038508,9540,9540,115.0,7.0,176,nurse|sex|based on novel|bondage|obsession|nudity|sadism|sadomasochism|twin brother|murder|prostitution|drug|twins|receptionist|extramarital affair|medical profession|gynecologist|voyeurism|spectacle|body horror|identical twins,"['nurse', 'sex', 'based on novel', 'bondage', 'obsession', 'nudity', 'sadism', 'sadomasochism', 'twin brother', 'murder', 'prostitution', 'drug', 'twins', 'receptionist', 'extramarital affair', 'medical profession', 'gynecologist', 'voyeurism', 'spectacle', 'body horror', 'identical twins']"
2448,Baby Geniuses ( 1999 ),Science Fiction|Comedy|Family,"['Science Fiction', 'Comedy', 'Family']",1999-03-12,12000000,36450736,22345,22345,97.0,3.3,75,baby|genius|toddler|baby geniuses,"['baby', 'genius', 'toddler', 'baby geniuses']"
2451,Forces of Nature ( 1999 ),Romance|Comedy,"['Romance', 'Comedy']",1999-03-12,75000000,93888180,1641,1641,105.0,5.1,141,cataclysm|airplane|single|travel|wedding|storm|extramarital affair|woman director,"['cataclysm', 'airplane', 'single', 'travel', 'wedding', 'storm', 'extramarital affair', 'woman director']"
2452,The King and I ( 1999 ),Animation|Drama|Family,"['Animation', 'Drama', 'Family']",1999-03-19,25000000,12000000,47288,47288,87.0,5.0,23,musical|king|school teacher|siam,"['musical', 'king', 'school teacher', 'siam']"
2458,The King and I ( 1956 ),Drama|Music|Romance,"['Drama', 'Music', 'Romance']",1956-06-29,4550000,21300000,16520,16520,133.0,7.3,103,temple|prime minister|letter|bangkok|palace|widow|musical|buddha|siamese twins|polygamy|based on play or musical|misunderstanding|single mother|tutor|chopsticks|uncle tom's cabin|chakri dynasty|school teacher|barge|inter cultural|sailing ship|pagoda|consort|dowry|malaria,"['temple', 'prime minister', 'letter', 'bangkok', 'palace', 'widow', 'musical', 'buddha', 'siamese twins', 'polygamy', 'based on play or musical', 'misunderstanding', 'single mother', 'tutor', 'chopsticks', ""uncle tom's cabin"", 'chakri dynasty', 'school teacher', 'barge', 'inter cultural', 'sailing ship', 'pagoda', 'consort', 'dowry', 'malaria']"
2461,The Mod Squad ( 1999 ),Action|Mystery|Thriller,"['Action', 'Mystery', 'Thriller']",1999-03-26,50000000,13260050,16379,16379,92.0,4.1,37,undercover|drug traffic|based on tv series,"['undercover', 'drug traffic', 'based on tv series']"
2464,The Matrix ( 1999 ),Action|Science Fiction,"['Action', 'Science Fiction']",1999-03-30,63000000,463517383,603,603,136.0,7.9,9079,saving the world|artificial intelligence|man vs machine|philosophy|prophecy|martial arts|self sacrifice|fight|insurgence|virtual reality|dystopia|truth|cyberpunk|woman director|messiah|gnosticism,"['saving the world', 'artificial intelligence', 'man vs machine', 'philosophy', 'prophecy', 'martial arts', 'self sacrifice', 'fight', 'insurgence', 'virtual reality', 'dystopia', 'truth', 'cyberpunk', 'woman director', 'messiah', 'gnosticism']"
2465,10 Things I Hate About You ( 1999 ),Comedy|Romance|Drama,"['Comedy', 'Romance', 'Drama']",1999-03-30,16000000,53478166,4951,4951,97.0,7.3,1768,shakespeare|sister|high school|cannabis|deception|teen movie|shrew|archery|feel-good ending|opposites attract|duringcreditsstinger|teenage romance|play adaptation|overprotective father,"['shakespeare', 'sister', 'high school', 'cannabis', 'deception', 'teen movie', 'shrew', 'archery', 'feel-good ending', 'opposites attract', 'duringcreditsstinger', 'teenage romance', 'play adaptation', 'overprotective father']"
2467,The Out-of-Towners ( 1999 ),Comedy,['Comedy'],1999-04-02,75000000,29000000,8970,8970,90.0,5.1,46,new york|travel|misfortune,"['new york', 'travel', 'misfortune']"
2472,Following ( 1998 ),Crime|Drama|Thriller,"['Crime', 'Drama', 'Thriller']",1998-09-12,6000,48482,11660,11660,69.0,7.2,363,london england|robbery|burglar|prosecution|thief|independent film|writer|stranger|neo-noir,"['london england', 'robbery', 'burglar', 'prosecution', 'thief', 'independent film', 'writer', 'stranger', 'neo-noir']"
2473,Go ( 1999 ),Crime|Comedy|Thriller,"['Crime', 'Comedy', 'Thriller']",1999-04-09,6500000,28451622,9430,9430,98.0,7.0,198,ecstasy|drug dealing|drug|reference to family circus|high|bisexual man|multiple storylines,"['ecstasy', 'drug dealing', 'drug', 'reference to family circus', 'high', 'bisexual man', 'multiple storylines']"
2474,Never Been Kissed ( 1999 ),Romance|Comedy|Drama,"['Romance', 'Comedy', 'Drama']",1999-04-09,25000000,84565230,11355,11355,107.0,5.8,378,chicago|journalist|newspaper|undercover|entrapment|kiss|nerd|high school|party|love|prank|prom|reporter|teenager|humiliation|editor,"['chicago', 'journalist', 'newspaper', 'undercover', 'entrapment', 'kiss', 'nerd', 'high school', 'party', 'love', 'prank', 'prom', 'reporter', 'teenager', 'humiliation', 'editor']"
2475,Twin Dragons ( 1992 ),Comedy|Action,"['Comedy', 'Action']",1992-01-15,10000000,8359717,18764,18764,89.0,6.2,72,mistaken identity|martial arts master|pianist|twins|grand piano|concert pianist,"['mistaken identity', 'martial arts master', 'pianist', 'twins', 'grand piano', 'concert pianist']"
2476,Cookie's Fortune ( 1999 ),Comedy|Drama|Thriller,"['Comedy', 'Drama', 'Thriller']",1999-01-22,10000000,10920544,9465,9465,118.0,6.2,35,suicide|mississippi|small town|suspicion of murder|theatre milieu|theatre director,"['suicide', 'mississippi', 'small town', 'suspicion of murder', 'theatre milieu', 'theatre director']"
2480,Life ( 1999 ),Comedy|Crime,"['Comedy', 'Crime']",1999-04-16,80000000,73345029,6522,6522,108.0,6.4,179,mississippi|racist|bootlegging|criminal|life imprisonment,"['mississippi', 'racist', 'bootlegging', 'criminal', 'life imprisonment']"
2486,Open Your Eyes ( 1997 ),Drama|Thriller,"['Drama', 'Thriller']",1997-12-19,2900000,368234,1902,1902,117.0,7.4,211,love triangle|madrid|love of one's life|ladykiller|face operation|fall from skyscraper|virtual reality|life extension|car crash|best friend|psychiatrist|psychiatric,"['love triangle', 'madrid', ""love of one's life"", 'ladykiller', 'face operation', 'fall from skyscraper', 'virtual reality', 'life extension', 'car crash', 'best friend', 'psychiatrist', 'psychiatric']"
2489,Lost & Found ( 1999 ),Comedy|Romance,"['Comedy', 'Romance']",1999-04-23,1,100,39964,39964,95.0,4.9,26,restaurant|neighbor|dog|ring,"['restaurant', 'neighbor', 'dog', 'ring']"
2492,eXistenZ ( 1999 ),Action|Thriller|Science Fiction|Horror,"['Action', 'Thriller', 'Science Fiction', 'Horror']",1999-04-14,15000000,2856712,1946,1946,97.0,6.7,487,video game|hacker|bodyguard|pop star|virtual reality|dystopia|virtual fight,"['video game', 'hacker', 'bodyguard', 'pop star', 'virtual reality', 'dystopia', 'virtual fight']"
2497,Entrapment ( 1999 ),Romance|Drama|Mystery,"['Romance', 'Drama', 'Mystery']",1999-04-29,66000000,212404396,1844,1844,112.0,6.0,613,"london england|new year's eve|skyscraper|burglar|distrust|undercover|blackmail|nudity|thief|heist|older man younger woman relationship|art thief|criminal|art theft|millennium|manhattan, new york city|gala|kuala lumpur malaysia","['london england', ""new year's eve"", 'skyscraper', 'burglar', 'distrust', 'undercover', 'blackmail', 'nudity', 'thief', 'heist', 'older man younger woman relationship', 'art thief', 'criminal', 'art theft', 'millennium', 'manhattan, new york city', 'gala', 'kuala lumpur malaysia']"
2498,Idle Hands ( 1999 ),Thriller|Comedy|Horror,"['Thriller', 'Comedy', 'Horror']",1999-04-30,25000000,4152230,6552,6552,92.0,6.1,183,teenager|attic|knitting needle|noise complaint|crawling hand|angel costume|trowel|bass guitarist|priestess,"['teenager', 'attic', 'knitting needle', 'noise complaint', 'crawling hand', 'angel costume', 'trowel', 'bass guitarist', 'priestess']"
2504,Mildred Pierce ( 1945 ),Crime|Drama,"['Crime', 'Drama']",1945-09-24,1453000,5638000,3309,3309,111.0,7.4,81,beach|infidelity|restaurant|promise|romance|melodrama|singing|girl|beach house|mother daughter estrangement|film noir,"['beach', 'infidelity', 'restaurant', 'promise', 'romance', 'melodrama', 'singing', 'girl', 'beach house', 'mother daughter estrangement', 'film noir']"
2505,Night of the Comet ( 1984 ),Comedy|Horror|Science Fiction,"['Comedy', 'Horror', 'Science Fiction']",1984-11-16,3000000,14418922,18462,18462,95.0,6.1,94,post-apocalyptic|comet|end of the world,"['post-apocalyptic', 'comet', 'end of the world']"
2508,Dick Tracy ( 1990 ),Adventure|Action|Comedy|Thriller|Crime,"['Adventure', 'Action', 'Comedy', 'Thriller', 'Crime']",1990-06-15,47000000,103738726,8592,8592,103.0,5.9,258,corruption|crime fighter|gangster boss|investigation|based on comic|policeman,"['corruption', 'crime fighter', 'gangster boss', 'investigation', 'based on comic', 'policeman']"
2509,The Mummy ( 1999 ),Adventure|Action|Fantasy,"['Adventure', 'Action', 'Fantasy']",1999-04-16,80000000,415885488,564,564,124.0,6.6,2796,library|secret passage|cairo|egypt|pastor|pyramid|sandstorm|solar eclipse|mummy|foreign legion|nile|secret society|treasure hunt|remake|ancient egypt|opposites attract|1920s,"['library', 'secret passage', 'cairo', 'egypt', 'pastor', 'pyramid', 'sandstorm', 'solar eclipse', 'mummy', 'foreign legion', 'nile', 'secret society', 'treasure hunt', 'remake', 'ancient egypt', 'opposites attract', '1920s']"
2510,The Castle ( 1997 ),Drama|Comedy,"['Drama', 'Comedy']",1997-04-10,786675,861789,13852,13852,85.0,7.4,69,underdog|airport|court case|australian|family history|australia|court|cult comedy|kickboxing|david and goliath,"['underdog', 'airport', 'court case', 'australian', 'family history', 'australia', 'court', 'cult comedy', 'kickboxing', 'david and goliath']"
2518,Edge of Seventeen ( 1998 ),Comedy|Drama|Romance,"['Comedy', 'Drama', 'Romance']",1998-05-14,1500000,870751,4927,4927,99.0,5.7,29,gay|ohio|homosexuality|independent film|coming of age|summer|gay man|amusement park|lgbt,"['gay', 'ohio', 'homosexuality', 'independent film', 'coming of age', 'summer', 'gay man', 'amusement park', 'lgbt']"
2520,Star Wars: Episode I - The Phantom Menace ( 1999 ),Adventure|Action|Science Fiction,"['Adventure', 'Action', 'Science Fiction']",1999-05-19,115000000,924317558,1893,1893,136.0,6.4,4526,prophecy|senate|queen|taskmaster|galaxy|apprentice|taxes|space opera,"['prophecy', 'senate', 'queen', 'taskmaster', 'galaxy', 'apprentice', 'taxes', 'space opera']"
2532,Superman ( 1978 ),Action|Adventure|Fantasy|Science Fiction,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",1978-12-13,55000000,300218018,1924,1924,143.0,6.9,1042,saving the world|journalist|dc comics|crime fighter|nuclear missile|galaxy|superhero|based on comic|criminal|sabotage|north pole|midwest|kryptonite|super powers|superhuman strength|aftercreditsstinger|save the day,"['saving the world', 'journalist', 'dc comics', 'crime fighter', 'nuclear missile', 'galaxy', 'superhero', 'based on comic', 'criminal', 'sabotage', 'north pole', 'midwest', 'kryptonite', 'super powers', 'superhuman strength', 'aftercreditsstinger', 'save the day']"
2533,Superman II ( 1980 ),Action|Adventure|Fantasy|Science Fiction,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",1980-12-04,54000000,190458706,8536,8536,127.0,6.5,642,saving the world|dc comics|sequel|superhero|based on comic|loss of virginity|criminal|super powers|phantom zone|rocket fired grenade|crystal machine|superhuman strength|duringcreditsstinger,"['saving the world', 'dc comics', 'sequel', 'superhero', 'based on comic', 'loss of virginity', 'criminal', 'super powers', 'phantom zone', 'rocket fired grenade', 'crystal machine', 'superhuman strength', 'duringcreditsstinger']"
